#known query type ID	restated question	corpus	types	solution script	additional parameters
Q0	What is $term	['What is an','What is a','what is','what are']	['term']	Q0Solution.py -i '$term'	{}
Q16	what drugs have similar protein targets to $chemical_substance	['what drugs have similar protein targets to']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q17	what proteins are members of similar pathways to $protein	['what proteins are members of similar pathways to']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'pathway', 'threshold':0.02}
Q18	what proteins are expressed in similar anatomy to $protein	['what proteins are expressed in similar anatomy to', 'what genes are expressed in similar anatomy to', 'what genes are expressed in similar body parts as', 'what proteins are expressed in similar body parts as']	['anatomical_entity']	SimilarityQuestionSolution.py -s '$anatomical_entity' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'anatomical_entity', 'threshold':0.02}
Q19	what proteins are associated with similar phenotypes to $protein	['what proteins are associated with similar phenotypes to', 'what proteins are associated with similar symptoms to']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'phenotypic_feature', 'threshold':0.02}
Q20	what pathways involve similar genes to $pathway	['what pathways involve similar genes to', 'what pathways involve similar proteins to']	['pathway']	SimilarityQuestionSolution.py -s '$pathway' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'pathway', 'association': 'protein', 'threshold':0.02}
Q21	what genetic conditions involve similar genes to $disease	['what genetic conditions involve similar genes to', 'what genetic conditions involve similar proteins to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'protein', 'threshold':0.02}
Q22	what genetic conditions involve similar micrornas to $disease	['what genetic conditions involve similar micrornas to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'omim_diease', 'association': 'microRNA', 'threshold':0.02}
Q23	what drugs target proteins associated with $disease	['what drugs target proteins associated with', 'what drugs target genes associated with']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q24	what drugs target proteins expressed in $anatomical_entity	['what drugs target proteins expressed in', 'what drugs target genes expressed in']	['anatomical_entity']	SimilarityQuestionSolution.py -s '$anatomical_entity' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q25	what drugs target proteins associated with $phenotypic_feature	['what drugs target proteins associated with', 'what drugs target genes associated with']	['phenotypic_feature']	SimilarityQuestionSolution.py -s '$phenotypic_feature' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q26	what drugs target proteins in the pathway $pathway	['what drugs target proteins in the pathway']	['pathway']	SimilarityQuestionSolution.py -s '$pathway' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q27	what drugs target proteins associated with $anatomical_entity	['what drugs target genes associated with']	['anatomical_entity']	SimilarityQuestionSolution.py -s '$anatomical_entity' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.02}
Q28	what anatomy are associated with $chemical_substance	['what anatomy are associated with', 'what body parts are associated with']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'anatomical_entity', 'association': 'protein', 'threshold':0.02}
Q29	what phenotypes are associated with $chemical_substance	['what phenotypes are associated with', 'what symptoms are associated with']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'phenotypic_feature', 'association': 'protein', 'threshold':0.02}
Q30	what diseases are associated with $chemical_substance	['what diseases are associated with']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'protein', 'threshold':0.02}
Q31	what kinds of questions can RTX answer	['what kinds of questions can RTX answer','what kinds of questions can I ask you','what kinds of questions can you answer']	[]	WhatQuestionsCanYouAnswer.py	{}
