#known query type ID	restated question	corpus	types	solution script	additional parameters
Q0	What is $term	['What is an','What is a','what is','what are']	['term']	Q0Solution.py -i '$term'	{}
Q15	What diseases involve similar micrornas to $disease	['what diseases involve similar micrornas to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'microRNA', 'threshold':0.0002}
Q16	What drugs have similar protein targets to $chemical_substance	['which drugs have similar protein targets to', 'what drugs have similar protein targets to']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.0002}
Q17	What proteins are members of similar pathways to $protein	['which proteins are member os similar pathways to', 'what proteins are members of similar pathways to']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'pathway', 'threshold':0.0002}
Q18	What proteins are expressed in similar anatomy to $protein	['which proteins are expressed in similar anatomy to', 'what proteins are expressed in similar anatomy to', 'what genes are expressed in similar anatomy to', 'what genes are expressed in similar body parts as', 'what proteins are expressed in similar body parts as']	['anatomical_entity']	SimilarityQuestionSolution.py -s '$protein' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'anatomical_entity', 'threshold':0.0002}
Q19	What proteins are associated with similar phenotypes to $protein	['what proteins are associated with similar phenotypes to', 'what proteins are associated with similar symptoms to']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'protein', 'association': 'phenotypic_feature', 'threshold':0.0002}
Q20	What pathways involve similar genes to $pathway	['what pathways involve similar genes to', 'what pathways involve similar proteins to']	['pathway']	SimilarityQuestionSolution.py -s '$pathway' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'pathway', 'association': 'protein', 'threshold':0.0002}
Q21	What genetic conditions involve similar genes to $disease	['what genetic conditions involve similar genes to', 'what genetic conditions involve similar proteins to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'protein', 'threshold':0.0002}
Q22	What genetic conditions involve similar micrornas to $disease	['what genetic conditions involve similar micrornas to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'microRNA', 'threshold':0}
Q23	What drugs target proteins associated with $disease	['what drugs target proteins associated with', 'what drugs target genes associated with']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.0002}
Q24	What drugs target proteins expressed in $anatomical_entity	['what drugs target proteins expressed in', 'what drugs target genes expressed in', 'what drugs target proteins associated with']	['anatomical_entity']	SimilarityQuestionSolution.py -s '$anatomical_entity' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.0002}
Q25	What drugs target proteins associated with $phenotypic_feature	['what drugs target proteins associated with', 'what drugs target genes associated with']	['phenotypic_feature']	SimilarityQuestionSolution.py -s '$phenotypic_feature' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.0002}
Q26	What drugs target proteins in the pathway $pathway	['what drugs target proteins in the pathway']	['pathway']	SimilarityQuestionSolution.py -s '$pathway' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0.0002}
Q28	What anatomy are associated with $chemical_substance	['what anatomy are associated with', 'what body parts are associated with']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'anatomical_entity', 'association': 'protein', 'threshold':0.0002}
Q29	What phenotypes are associated with $chemical_substance	['what phenotypes are associated with', 'what symptoms are associated with']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'phenotypic_feature', 'association': 'protein', 'threshold':0.0002}
Q30	What diseases are associated with proteins targeted by $chemical_substance	['what diseases are associated with proteins targeted by ']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'protein', 'threshold':0.0002}
Q31	What kinds of questions can RTX answer	['what kinds of questions can RTX answer','what kinds of questions can I ask you','what kinds of questions can you answer']	[]	WhatQuestionsCanYouAnswer.py -j	{'placeholder':'placeholder'}
Q32	What drugs target proteins associated with $biological_process	['what drugs target proteins associated with', 'what drugs target proteins associated with the biological process']	['biological_process']	SimilarityQuestionSolution.py -s '$biological_process' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'chemical_substance', 'association': 'protein', 'threshold':0}
Q33	What biological processes involve proteins target by $chemical_substance	['what biological processes involve proteins target by']	['chemical_substance']	SimilarityQuestionSolution.py -s '$chemical_substance' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'biological_process', 'association': 'protein', 'threshold':0}
Q34	What are the most common phenotypes of $disease	['what are the most common phenotypes of', 'what are the most common symptoms of']	['disease']	CommonSymptomsSolution.py -d '$disease' -j --num_show '$num_show'	{'num_show': 20}
Q35	What are the least common phenotypes of $disease	['what are the least common phenotypes of', 'what are the least common symptoms of']	['disease']	CommonSymptomsSolution.py -d '$disease' -j --num_show '$num_show' --rare	{'num_show': 20}
Q36	What proteins involve similar biological processes as $protein	['what proteins are similar to based on biological processes', 'what proteins are similar to based on GO-term similarity']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t 'protein' -a 'biological_process' --threshold $threshold -j	{'threshold': 0}
Q37	What drugs target proteins that interact with the protein $protein	['what drugs also interact with proteins related to the protein','what chemical substances target proteins which interact with the protien']	['protein']	SimilarityQuestionSolution.py -s '$protein' -t 'chemical_substance' -a 'protein' --threshold $threshold -j	{'threshold': 0}
Q38	What conditions are most frequently treated by $chemical_substance	['what conditions are treated by', 'what conditions are commonly treated by',  'what are the most common uses for', 'what diseases are treated by', 'what diseases are commonly treated by', 'what is treated by', 'what is commonly treated by']	['chemical_substance']	CommonlyTreatsSolution.py -d '$chemical_substance' --conservative --num_show '$num_show' -j	{'num_show': 20}
Q39	What conditions are most frequently treated by $chemical_substance, in any form	['what conditions are treated by in any form', 'what conditions are commonly treated by in any form', 'what are the most common uses for in any form', 'what diseases are treated by in any form', 'what diseases are commonly treated by in any form', 'what is treated by in any form', 'what is commonly treated by in any form']	['chemical_substance']	CommonlyTreatsSolution.py -d '$chemical_substance' --num_show '$num_show' -j	{'num_show': 20}
Q40	What conditions are least frequently treated by $chemical_substance	['what conditions are least frequently treated by', 'what conditions are least frequently treated by',  'what are the least frequent uses for', 'what diseases are least frequently treated by', 'what diseases are uncommonly treated by', 'what is uncommonly treated by', 'what is commonly treated by']	['chemical_substance']	CommonlyTreatsSolution.py -d '$chemical_substance' --conservative --num_show '$num_show' -j	{'num_show': 20}
Q41	What conditions are least frequently treated by $chemical_substance, in any form	['what conditions are least frequently treated by in any form', 'what conditions are commonly treated by in any form', 'what are the least common uses for in any form', 'what diseases are uncommonly treated by in any form', 'what diseases are least commonly treated by in any form', 'what is uncommonly treated by in any form', 'what is uncommonly treated by in any form']	['chemical_substance']	CommonlyTreatsSolution.py -d '$chemical_substance' --num_show '$num_show' -j	{'num_show': 20}
